id	wiki_title	character_root	stage
Byleth	Byleth	assets/characters/protagonist/Byleth	professor
Jeralt	Jeralt	assets/characters/protagonist/Jeralt	mercenary
Sothis	Sothis	assets/characters/divine/Sothis	dream
Edelgard	Edelgard	assets/characters/black_eagles/Edelgard	academy
Hubert	Hubert	assets/characters/black_eagles/Hubert	academy
Ferdinand	Ferdinand	assets/characters/black_eagles/Ferdinand	academy
Linhardt	Linhardt	assets/characters/black_eagles/Linhardt	academy
Caspar	Caspar	assets/characters/black_eagles/Caspar	academy
Bernadetta	Bernadetta	assets/characters/black_eagles/Bernadetta	academy
Dorothea	Dorothea	assets/characters/black_eagles/Dorothea	academy
Petra	Petra	assets/characters/black_eagles/Petra	academy
Dimitri	Dimitri	assets/characters/blue_lions/Dimitri	academy
Dedue	Dedue	assets/characters/blue_lions/Dedue	academy
Felix	Felix	assets/characters/blue_lions/Felix	academy
Ashe	Ashe	assets/characters/blue_lions/Ashe	academy
Sylvain	Sylvain	assets/characters/blue_lions/Sylvain	academy
Mercedes	Mercedes	assets/characters/blue_lions/Mercedes	academy
Annette	Annette	assets/characters/blue_lions/Annette	academy
Ingrid	Ingrid	assets/characters/blue_lions/Ingrid	academy
Claude	Claude	assets/characters/golden_deer/Claude	academy
Lorenz	Lorenz (Three Houses)	assets/characters/golden_deer/Lorenz	academy
Raphael	Raphael	assets/characters/golden_deer/Raphael	academy
Ignatz	Ignatz	assets/characters/golden_deer/Ignatz	academy
Lysithea	Lysithea	assets/characters/golden_deer/Lysithea	academy
Marianne	Marianne	assets/characters/golden_deer/Marianne	academy
Hilda	Hilda	assets/characters/golden_deer/Hilda	academy
Leonie	Leonie	assets/characters/golden_deer/Leonie	academy
Rhea	Rhea	assets/characters/church_of_seiros/Rhea	archbishop
Seteth	Seteth	assets/characters/church_of_seiros/Seteth	academy
Flayn	Flayn	assets/characters/church_of_seiros/Flayn	academy
Hanneman	Hanneman	assets/characters/church_of_seiros/Hanneman	academy
Manuela	Manuela	assets/characters/church_of_seiros/Manuela	academy
Alois	Alois	assets/characters/church_of_seiros/Alois	academy
Catherine	Catherine	assets/characters/church_of_seiros/Catherine	academy
Shamir	Shamir	assets/characters/church_of_seiros/Shamir	academy
Cyril	Cyril	assets/characters/church_of_seiros/Cyril	academy
Gilbert	Gilbert	assets/characters/church_of_seiros/Gilbert	academy
Jeritza	Jeritza	assets/characters/church_of_seiros/Jeritza	academy
DeathKnight	Death Knight	assets/characters/antagonists/DeathKnight	concept
FlameEmperor	Flame Emperor	assets/characters/antagonists/FlameEmperor	concept
Solon	Solon	assets/characters/antagonists/Solon	concept
Kronya	Kronya	assets/characters/antagonists/Kronya	concept
Thales	Thales	assets/characters/antagonists/Thales	concept
Nemesis	Nemesis	assets/characters/antagonists/Nemesis	concept
Kostas	Kostas	assets/characters/antagonists/Kostas	legacy_ep01
